host_id,host_response_rate,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
2787,100,6.0,13.0,2.0,30.0,730.0,30.0,30.0,730.0,730.0,12,42,72,347,9.0,0.0,0.0,180,0.0,0,6.0,1.0,5.0,0.0
2845,94,7.0,9.0,1.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,0,7,37,312,49.0,0.0,0.0,145,0.0,0,3.0,3.0,0.0,0.0
7378,0,1.0,5.0,4.0,30.0,730.0,30.0,30.0,730.0,730.0,0,29,37,80,4.0,0.0,0.0,80,0.0,0,1.0,1.0,0.0,0.0
15991,100,1.0,1.0,3.0,30.0,120.0,30.0,30.0,120.0,120.0,0,0,6,219,196.0,4.0,1.0,52,4.0,240,1.0,1.0,0.0,0.0
16104,91,2.0,2.0,1.0,30.0,180.0,30.0,30.0,180.0,180.0,1,1,1,2,1.0,0.0,0.0,2,0.0,0,2.0,0.0,2.0,0.0
16800,100,1.0,6.0,1.0,30.0,120.0,30.0,30.0,120.0,120.0,0,5,13,254,20.3,6.0,1.0,87,5.0,255,1.0,0.0,1.0,0.0
17297,0,2.0,2.0,2.0,30.0,45.0,30.0,30.0,45.0,45.0,0,0,0,0,13.0,0.0,0.0,0,0.0,0,2.0,0.0,2.0,0.0
17571,100,2.0,2.0,2.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,1,1,4,4,20.3,39.0,0.2,4,37.0,255,2.0,0.0,2.0,0.0
204539,100,11.0,11.0,2.6,30.0,730.0,30.0,30.0,730.0,730.0,30,60,90,365,4.0,0.0,0.0,198,0.0,0,10.0,8.0,2.0,0.0
128806,0,1.0,2.0,2.0,30.0,75.0,30.0,30.0,75.0,75.0,0,0,0,0,37.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
99212,0,1.0,3.0,3.0,30.0,365.0,30.0,30.0,365.0,365.0,0,0,0,0,9.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
292204,100,4.0,4.0,2.0,30.0,60.0,30.0,30.0,1125.0,1125.0,4,17,47,227,196.0,0.0,0.0,155,0.0,0,4.0,4.0,0.0,0.0
256161,100,4.0,9.0,2.0,30.0,90.0,30.0,30.0,90.0,90.0,0,0,23,23,20.3,1.0,0.0,23,0.0,60,4.0,2.0,2.0,0.0
249372,0,1.0,1.0,2.0,30.0,365.0,30.0,30.0,365.0,365.0,0,0,0,0,3.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0
292630,100,6.0,12.0,6.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,29,58,87,362,168.0,2.0,0.0,195,3.0,120,6.0,5.0,1.0,0.0
293394,0,1.0,1.0,6.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,0,0,0,0,4.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
297176,63,2.0,10.0,1.0,60.0,480.0,60.0,60.0,480.0,480.0,30,60,90,180,2.0,1.0,0.0,180,1.0,120,2.0,0.0,2.0,0.0
21207,100,4.0,4.0,2.0,30.0,120.0,30.0,30.0,120.0,120.0,0,0,0,0,13.0,1.0,0.0,0,1.0,60,1.0,1.0,0.0,0.0
132701,0,1.0,2.0,2.0,30.0,31.0,30.0,30.0,31.0,31.0,0,0,0,0,94.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
757166,80,1.0,2.0,4.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,12,12,26,301,92.0,0.0,0.0,134,0.0,0,1.0,1.0,0.0,0.0
758441,0,4.0,4.0,2.0,30.0,365.0,30.0,30.0,365.0,365.0,30,60,90,365,27.0,0.0,0.0,198,0.0,0,4.0,0.0,4.0,0.0
759883,50,1.0,3.0,1.0,30.0,30.0,30.0,30.0,30.0,30.0,29,59,89,364,26.0,0.0,0.0,197,0.0,0,1.0,0.0,1.0,0.0
776490,100,2.0,3.0,6.0,31.0,60.0,31.0,31.0,60.0,60.0,4,34,64,339,57.0,1.0,0.0,172,1.0,62,1.0,0.0,1.0,0.0
791287,100,1.0,1.0,6.0,31.0,365.0,31.0,31.0,365.0,365.0,0,0,0,240,190.0,3.0,0.0,73,2.0,186,1.0,1.0,0.0,0.0
792159,0,1.0,2.0,2.0,30.0,30.0,30.0,30.0,30.0,30.0,0,0,0,0,61.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0
795640,0,1.0,1.0,6.0,30.0,30.0,30.0,30.0,30.0,30.0,0,0,0,0,6.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
720558,100,2.0,2.0,2.0,30.0,68.0,30.0,30.0,68.0,68.0,0,0,14,104,124.0,1.0,0.0,104,1.0,60,1.0,1.0,0.0,0.0
807642,0,2.0,2.0,4.0,30.0,30.0,30.0,30.0,1125.0,1125.0,0,0,14,289,0.0,0.0,0.0,122,0.0,0,2.0,1.0,1.0,0.0
25183,100,2.0,3.0,5.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,1,3,22,214,190.0,0.0,0.0,59,0.0,0,2.0,2.0,0.0,0.0
30193,0,1.0,1.0,2.0,30.0,120.0,30.0,30.0,120.0,120.0,27,51,67,97,58.0,0.0,0.0,97,0.0,0,1.0,1.0,0.0,0.0
35935,90,6.0,6.0,2.0,30.0,730.0,30.0,30.0,730.0,730.0,0,0,0,229,82.0,2.0,0.0,62,2.0,120,6.0,0.0,6.0,0.0
306739,100,2.0,4.0,4.0,30.0,90.0,30.0,30.0,90.0,90.0,23,53,83,83,172.0,0.0,0.0,83,0.0,0,2.0,2.0,0.0,0.0
295128,0,6.0,7.0,3.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6.0,0.0,6.0,0.0
310670,100,13.0,23.0,2.0,30.0,120.0,30.0,30.0,120.0,120.0,23,53,83,358,57.0,0.0,0.0,191,0.0,0,8.0,3.0,5.0,0.0
170510,0,2.0,4.0,2.0,30.0,1124.0,30.0,30.0,1125.0,1125.0,0,0,0,0,20.3,0.0,0.0,0,0.0,0,2.0,2.0,0.0,0.0
146944,0,1.0,10.0,2.0,30.0,730.0,30.0,30.0,730.0,730.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
314256,0,1.0,2.0,2.0,30.0,182.0,30.0,30.0,1125.0,1125.0,2,2,2,110,46.0,0.0,0.0,2,0.0,0,1.0,0.0,1.0,0.0
